name,comnum,company,display,clevel,cpu,cpu2,cpu3,os,memory,ssd,weight,glevel,graphic,price
레노버 V14-ARE 82DQ0039KR,1,레노버,14,4,AMD,라이젠7-3세대,4700U ,미포함(프리도스),8,256,1.46,1,Radeon Graphics,629000
MSI 모던시리즈 모던14 A10M-i5 카본 그레이,1,MSI,14,2,인텔,코어i5-10세대,i5-10210U ,미포함(프리도스),8,256,1.18,1,UHD Graphics,658600
삼성전자 2021 갤럭시북 NT750XDZ-AM58S,2,삼성전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.55,1,Iris Xe,733490
LG전자 2022 울트라PC 15UD40Q-GX50K,2,LG전자,15.6,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),8,256,1.75,1,Radeon Graphics,708990
LG전자 2021 울트라PC 15UD50P-GX50K,2,LG전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.8,1,Iris Xe,721880
레노버 게이밍 3i 15IMH I5 LEGEND PRO,1,레노버,15.6,2,인텔,코어i5-10세대,i5-10300H ,미포함(프리도스),8,256,2.2,3,GTX1650 Ti,787000
LG전자 2021 울트라PC 15UD50P-GX50K WIN10,2,LG전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,8,256,1.8,1,Iris Xe,753290
LG전자 2022 울트라PC 15UD40Q-GX50K 16GB램,2,LG전자,15.6,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),16,256,2.2,1,Radeon Graphics,751120
LG전자 2021 울트라PC 15UD50P-GX30K WIN10,2,LG전자,15.6,2,인텔,코어i3-11세대,i3-1115G4 ,윈도우10,8,500,1.8,1,UHD Graphics,713390
레노버 아이디어패드 Slim3-15ITL 5D WIN10 16GB램,1,레노버,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,16,500,1.65,1,Iris Xe,729250
삼성전자 노트북 플러스2 NT550XDZ-AD5A WIN10 16GB램,2,삼성전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,16,256,1.81,1,Iris Xe,790300
MSI 모던시리즈 모던14 B5M-R7 16GB램,1,MSI,14,4,AMD,라이젠7-4세대,5700U ,미포함(프리도스),16,512,1.3,1,Radeon Graphics,791490
MSI 모던시리즈 모던14 B5M-R5 WIN10 16GB램,1,MSI,14,3,AMD,라이젠5-4세대,5500U ,윈도우10,16,512,1.3,1,Radeon Graphics,711990
레노버 아이디어패드 Slim5 Pro 14ITL6 82L3004EKR,1,레노버,14,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,512,1.45,2,MX450,799000
MSI 모던시리즈 모던14 B5M-R7 WIN10,1,MSI,14,4,AMD,라이젠7-4세대,5700U ,윈도우10,8,512,1.3,1,Radeon Graphics,786590
MSI 모던시리즈 모던14 B5M-R5 16GB램,1,MSI,14,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),16,1000,1.3,1,Radeon Graphics,720000
MSI 모던시리즈 모던15 A11M-i5 카본 그레이 16GB램,1,MSI,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),16,512,1.6,1,Iris Xe,780190
MSI 모던시리즈 모던15 A11M 카본 그레이,1,MSI,15.6,4,인텔,코어i7-11세대,i7-1195G7 ,미포함(프리도스),8,512,1.6,1,Iris Xe,749000
MSI 모던시리즈 모던14 B11M-i5 카본 그레이 WIN10,1,MSI,14,3,인텔,코어i5-11세대,i5-1155G7 ,윈도우10,8,512,1.3,1,Radeon Graphics,763990
MSI 모던시리즈 모던14 B11MOU-i5 베이지 무스 16GB램,1,MSI,14,3,인텔,코어i5-11세대,i5-1155G7 ,미포함(프리도스),16,512,1.3,1,Radeon Graphics,737890
MSI 모던시리즈 모던14 B11M-i5 카본 그레이 16GB램,1,MSI,14,3,인텔,코어i5-11세대,i5-1155G7 ,미포함(프리도스),16,512,1.3,1,Radeon Graphics,750720
